Brute Force,Recursion,Stack,General Solution,Binary Trick
0.004150867462158203,1.7881393432617188e-05,1.6927719116210938e-05,0.0032129287719726562,0.0013148784637451172
7.009506225585938e-05,1.0967254638671875e-05,3.0994415283203125e-06,1.5974044799804688e-05,2.09808349609375e-05
3.695487976074219e-05,3.0994415283203125e-06,2.1457672119140625e-06,9.059906005859375e-06,1.3113021850585938e-05
4.601478576660156e-05,3.0994415283203125e-06,2.1457672119140625e-06,9.059906005859375e-06,1.2159347534179688e-05
4.8160552978515625e-05,3.0994415283203125e-06,2.1457672119140625e-06,7.867813110351562e-06,1.2159347534179688e-05
5.6743621826171875e-05,7.152557373046875e-06,1.9073486328125e-06,9.298324584960938e-06,1.0967254638671875e-05
0.0001010894775390625,4.0531158447265625e-06,3.0994415283203125e-06,8.106231689453125e-06,1.0967254638671875e-05
8.916854858398438e-05,9.059906005859375e-06,1.9073486328125e-06,8.106231689453125e-06,1.5735626220703125e-05
8.797645568847656e-05,8.821487426757812e-06,2.86102294921875e-06,7.867813110351562e-06,1.0967254638671875e-05
9.608268737792969e-05,7.867813110351562e-06,3.0994415283203125e-06,8.344650268554688e-06,1.1205673217773438e-05
8.606910705566406e-05,1.0013580322265625e-05,3.0994415283203125e-06,7.867813110351562e-06,1.4781951904296875e-05
0.00010800361633300781,1.1682510375976562e-05,3.814697265625e-06,7.867813110351562e-06,1.0967254638671875e-05
0.00011801719665527344,1.1920928955078125e-05,3.814697265625e-06,8.344650268554688e-06,1.0013580322265625e-05
0.00013709068298339844,1.2874603271484375e-05,3.814697265625e-06,7.867813110351562e-06,1.2159347534179688e-05
0.00013184547424316406,1.0013580322265625e-05,4.291534423828125e-06,7.867813110351562e-06,1.0967254638671875e-05
0.00015211105346679688,1.52587890625e-05,4.0531158447265625e-06,7.867813110351562e-06,1.1920928955078125e-05
0.0001747608184814453,1.1682510375976562e-05,4.76837158203125e-06,8.106231689453125e-06,1.1205673217773438e-05
0.00017714500427246094,1.3113021850585938e-05,4.76837158203125e-06,8.106231689453125e-06,1.0967254638671875e-05
0.00021409988403320312,1.5020370483398438e-05,4.76837158203125e-06,7.867813110351562e-06,1.2159347534179688e-05
0.00018286705017089844,1.5020370483398438e-05,5.7220458984375e-06,7.867813110351562e-06,1.0013580322265625e-05
0.00018405914306640625,1.3828277587890625e-05,6.198883056640625e-06,7.867813110351562e-06,1.0013580322265625e-05
0.00020265579223632812,1.4066696166992188e-05,6.198883056640625e-06,7.867813110351562e-06,1.2159347534179688e-05
0.00018095970153808594,1.5020370483398438e-05,6.198883056640625e-06,8.106231689453125e-06,1.1205673217773438e-05
0.00021314620971679688,2.002716064453125e-05,7.152557373046875e-06,7.867813110351562e-06,1.0967254638671875e-05
0.00021314620971679688,2.09808349609375e-05,7.152557373046875e-06,7.867813110351562e-06,1.0013580322265625e-05
0.00023698806762695312,2.002716064453125e-05,7.152557373046875e-06,8.106231689453125e-06,1.0013580322265625e-05
0.00026798248291015625,2.5272369384765625e-05,7.152557373046875e-06,7.867813110351562e-06,1.0967254638671875e-05
0.0002491474151611328,2.3126602172851562e-05,8.106231689453125e-06,8.106231689453125e-06,1.0728836059570312e-05
0.00030803680419921875,2.09808349609375e-05,7.867813110351562e-06,9.059906005859375e-06,1.0967254638671875e-05
0.00025010108947753906,2.4080276489257812e-05,8.106231689453125e-06,8.106231689453125e-06,1.2159347534179688e-05
0.00027632713317871094,2.47955322265625e-05,8.106231689453125e-06,7.867813110351562e-06,1.0967254638671875e-05
0.0003139972686767578,2.574920654296875e-05,8.106231689453125e-06,7.867813110351562e-06,1.2159347534179688e-05
0.00047397613525390625,2.193450927734375e-05,7.867813110351562e-06,7.867813110351562e-06,1.1920928955078125e-05
0.0003380775451660156,2.5033950805664062e-05,9.298324584960938e-06,8.344650268554688e-06,1.0967254638671875e-05
0.00036716461181640625,2.4080276489257812e-05,9.059906005859375e-06,7.867813110351562e-06,1.1682510375976562e-05
0.0004451274871826172,2.384185791015625e-05,1.0013580322265625e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0003478527069091797,2.47955322265625e-05,1.4066696166992188e-05,7.867813110351562e-06,1.0967254638671875e-05
0.0003349781036376953,2.574920654296875e-05,1.0967254638671875e-05,8.106231689453125e-06,1.2159347534179688e-05
0.0003509521484375,3.0994415283203125e-05,1.0967254638671875e-05,8.106231689453125e-06,1.0967254638671875e-05
0.00047898292541503906,2.7894973754882812e-05,1.0013580322265625e-05,6.9141387939453125e-06,1.2874603271484375e-05
0.0006399154663085938,3.0994415283203125e-05,1.9073486328125e-05,7.867813110351562e-06,1.0967254638671875e-05
0.0004222393035888672,2.7179718017578125e-05,1.1205673217773438e-05,8.106231689453125e-06,1.0967254638671875e-05
0.0004911422729492188,3.314018249511719e-05,1.0013580322265625e-05,7.867813110351562e-06,1.1920928955078125e-05
0.0005712509155273438,3.314018249511719e-05,1.0967254638671875e-05,6.9141387939453125e-06,1.0967254638671875e-05
0.0004458427429199219,3.0994415283203125e-05,1.2159347534179688e-05,6.9141387939453125e-06,1.1205673217773438e-05
0.0006248950958251953,3.2901763916015625e-05,1.1682510375976562e-05,8.106231689453125e-06,1.2159347534179688e-05
0.0004589557647705078,3.1948089599609375e-05,1.2159347534179688e-05,7.867813110351562e-06,1.1205673217773438e-05
0.0006372928619384766,3.314018249511719e-05,1.1682510375976562e-05,7.867813110351562e-06,1.1205673217773438e-05
0.00037598609924316406,3.5762786865234375e-05,1.2159347534179688e-05,8.106231689453125e-06,1.0967254638671875e-05
0.00039196014404296875,3.314018249511719e-05,1.2874603271484375e-05,7.867813110351562e-06,1.0967254638671875e-05
0.000408172607421875,3.2901763916015625e-05,1.1920928955078125e-05,8.106231689453125e-06,1.1920928955078125e-05
0.00041174888610839844,3.2901763916015625e-05,1.3113021850585938e-05,6.9141387939453125e-06,1.0967254638671875e-05
0.00040912628173828125,3.719329833984375e-05,1.6927719116210938e-05,7.867813110351562e-06,1.0967254638671875e-05
0.0004260540008544922,3.504753112792969e-05,1.3828277587890625e-05,7.867813110351562e-06,1.1920928955078125e-05
0.0004177093505859375,4.1961669921875e-05,1.4066696166992188e-05,7.867813110351562e-06,1.0967254638671875e-05
0.00040602684020996094,3.62396240234375e-05,1.3113021850585938e-05,8.344650268554688e-06,1.2159347534179688e-05
0.00039196014404296875,4.029273986816406e-05,1.4781951904296875e-05,7.867813110351562e-06,1.0967254638671875e-05
0.0004029273986816406,3.6716461181640625e-05,1.3828277587890625e-05,7.867813110351562e-06,1.0251998901367188e-05
0.00040602684020996094,3.719329833984375e-05,1.4066696166992188e-05,7.867813110351562e-06,1.1920928955078125e-05
0.00043010711669921875,3.814697265625e-05,1.5020370483398438e-05,8.344650268554688e-06,1.1205673217773438e-05
0.000431060791015625,4.100799560546875e-05,1.52587890625e-05,7.867813110351562e-06,1.1920928955078125e-05
0.00044608116149902344,4.410743713378906e-05,1.52587890625e-05,6.9141387939453125e-06,1.0967254638671875e-05
0.0004489421844482422,4.00543212890625e-05,1.5735626220703125e-05,6.9141387939453125e-06,1.0967254638671875e-05
0.0004980564117431641,4.100799560546875e-05,1.5974044799804688e-05,6.9141387939453125e-06,1.2159347534179688e-05
0.0005059242248535156,4.100799560546875e-05,1.9073486328125e-05,7.152557373046875e-06,1.0967254638671875e-05
0.0005159378051757812,4.482269287109375e-05,2.7894973754882812e-05,7.867813110351562e-06,1.1205673217773438e-05
0.0005218982696533203,4.315376281738281e-05,1.6927719116210938e-05,6.9141387939453125e-06,1.3113021850585938e-05
0.0005428791046142578,4.9114227294921875e-05,1.6927719116210938e-05,6.9141387939453125e-06,1.1920928955078125e-05
0.0005602836608886719,4.9114227294921875e-05,1.6927719116210938e-05,7.152557373046875e-06,1.3113021850585938e-05
0.0005550384521484375,4.6253204345703125e-05,1.811981201171875e-05,8.344650268554688e-06,1.1920928955078125e-05
0.0005512237548828125,4.506111145019531e-05,1.811981201171875e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0006060600280761719,4.887580871582031e-05,1.7881393432617188e-05,8.106231689453125e-06,1.2159347534179688e-05
0.0005807876586914062,4.887580871582031e-05,1.7881393432617188e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0006031990051269531,4.7206878662109375e-05,1.7881393432617188e-05,8.106231689453125e-06,1.1920928955078125e-05
0.0005979537963867188,4.696846008300781e-05,2.0265579223632812e-05,6.9141387939453125e-06,1.3113021850585938e-05
0.0005538463592529297,4.673004150390625e-05,1.9311904907226562e-05,6.9141387939453125e-06,1.1920928955078125e-05
0.0005660057067871094,4.982948303222656e-05,2.09808349609375e-05,6.9141387939453125e-06,1.2874603271484375e-05
0.0006792545318603516,4.982948303222656e-05,2.574920654296875e-05,7.152557373046875e-06,1.1920928955078125e-05
0.0005819797515869141,5.0067901611328125e-05,2.09808349609375e-05,7.867813110351562e-06,1.1920928955078125e-05
0.0006117820739746094,4.982948303222656e-05,2.0265579223632812e-05,6.9141387939453125e-06,1.2636184692382812e-05
0.0006148815155029297,5.078315734863281e-05,2.09808349609375e-05,8.106231689453125e-06,1.2159347534179688e-05
0.0006229877471923828,5.078315734863281e-05,2.09808349609375e-05,7.867813110351562e-06,1.1682510375976562e-05
0.0006279945373535156,5.221366882324219e-05,2.09808349609375e-05,7.152557373046875e-06,1.0967254638671875e-05
0.0006747245788574219,5.507469177246094e-05,2.193450927734375e-05,6.9141387939453125e-06,1.0967254638671875e-05
0.0006561279296875,5.2928924560546875e-05,2.09808349609375e-05,7.867813110351562e-06,1.1920928955078125e-05
0.0006859302520751953,5.4836273193359375e-05,2.09808349609375e-05,6.9141387939453125e-06,1.0967254638671875e-05
0.0006730556488037109,5.3882598876953125e-05,2.193450927734375e-05,8.106231689453125e-06,2.5033950805664062e-05
0.0007090568542480469,5.507469177246094e-05,2.193450927734375e-05,7.152557373046875e-06,1.5020370483398438e-05
0.0007040500640869141,5.602836608886719e-05,2.288818359375e-05,6.9141387939453125e-06,1.3113021850585938e-05
0.0007371902465820312,5.698204040527344e-05,2.288818359375e-05,7.867813110351562e-06,1.3113021850585938e-05
0.0006480216979980469,6.079673767089844e-05,2.193450927734375e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0006728172302246094,5.793571472167969e-05,2.288818359375e-05,7.152557373046875e-06,1.3113021850585938e-05
0.0006840229034423828,5.793571472167969e-05,2.193450927734375e-05,7.867813110351562e-06,1.1920928955078125e-05
0.0006909370422363281,5.888938903808594e-05,2.288818359375e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0006930828094482422,5.888938903808594e-05,2.288818359375e-05,7.867813110351562e-06,1.1920928955078125e-05
0.0007309913635253906,6.413459777832031e-05,2.288818359375e-05,8.344650268554688e-06,1.0967254638671875e-05
0.0007359981536865234,5.984306335449219e-05,2.3126602172851562e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0007441043853759766,6.198883056640625e-05,2.4080276489257812e-05,7.867813110351562e-06,1.1920928955078125e-05
0.0007519721984863281,6.198883056640625e-05,2.3603439331054688e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0007760524749755859,6.175041198730469e-05,2.4080276489257812e-05,8.106231689453125e-06,1.3113021850585938e-05
0.0007569789886474609,6.29425048828125e-05,2.5033950805664062e-05,8.106231689453125e-06,1.2159347534179688e-05
0.0007302761077880859,6.413459777832031e-05,2.3603439331054688e-05,6.9141387939453125e-06,1.2874603271484375e-05
0.0007269382476806641,6.723403930664062e-05,2.47955322265625e-05,6.9141387939453125e-06,1.1920928955078125e-05
0.0007669925689697266,6.508827209472656e-05,2.6226043701171875e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0007688999176025391,6.723403930664062e-05,2.5987625122070312e-05,7.867813110351562e-06,1.1920928955078125e-05
0.0007851123809814453,6.604194641113281e-05,2.5987625122070312e-05,8.106231689453125e-06,1.0967254638671875e-05
0.0007798671722412109,6.67572021484375e-05,2.5987625122070312e-05,7.867813110351562e-06,1.0967254638671875e-05
0.0008018016815185547,6.699562072753906e-05,2.574920654296875e-05,8.106231689453125e-06,1.2159347534179688e-05
