Brute Force,Coprime Decomposition,Recursion,Stack,General Solution,Binary Trick,Read List
5.793571472167969e-05,2.8848648071289062e-05,1.6689300537109375e-06,2.86102294921875e-06,3.409385681152344e-05,4.315376281738281e-05,0.013996124267578125
2.9087066650390625e-05,1.2159347534179688e-05,3.0994415283203125e-06,3.0994415283203125e-06,1.0967254638671875e-05,1.5020370483398438e-05,4.506111145019531e-05
2.09808349609375e-05,4.315376281738281e-05,1.9073486328125e-06,1.9073486328125e-06,8.821487426757812e-06,1.1920928955078125e-05,8.106231689453125e-06
3.3855438232421875e-05,1.0967254638671875e-05,3.0994415283203125e-06,1.9073486328125e-06,9.059906005859375e-06,1.1920928955078125e-05,6.9141387939453125e-06
4.792213439941406e-05,4.100799560546875e-05,4.291534423828125e-06,2.1457672119140625e-06,9.059906005859375e-06,1.0967254638671875e-05,6.9141387939453125e-06
4.506111145019531e-05,4.029273986816406e-05,3.814697265625e-06,2.1457672119140625e-06,8.106231689453125e-06,1.0967254638671875e-05,5.7220458984375e-06
7.82012939453125e-05,3.814697265625e-05,5.0067901611328125e-06,1.9073486328125e-06,7.867813110351562e-06,1.0013580322265625e-05,6.9141387939453125e-06
6.914138793945312e-05,1.0013580322265625e-05,5.245208740234375e-06,2.1457672119140625e-06,9.298324584960938e-06,1.2159347534179688e-05,5.7220458984375e-06
5.984306335449219e-05,5.507469177246094e-05,6.198883056640625e-06,2.86102294921875e-06,7.867813110351562e-06,1.2159347534179688e-05,6.9141387939453125e-06
0.00013375282287597656,6.318092346191406e-05,5.7220458984375e-06,2.86102294921875e-06,7.867813110351562e-06,1.0967254638671875e-05,6.198883056640625e-06
0.00013017654418945312,5.412101745605469e-05,6.9141387939453125e-06,3.0994415283203125e-06,8.106231689453125e-06,1.0967254638671875e-05,5.9604644775390625e-06
0.0002357959747314453,5.316734313964844e-05,7.867813110351562e-06,2.6226043701171875e-06,7.867813110351562e-06,1.0967254638671875e-05,5.9604644775390625e-06
0.00020503997802734375,5.888938903808594e-05,8.821487426757812e-06,2.86102294921875e-06,8.106231689453125e-06,1.0967254638671875e-05,7.152557373046875e-06
0.00021600723266601562,5.888938903808594e-05,9.298324584960938e-06,4.0531158447265625e-06,8.106231689453125e-06,2.9325485229492188e-05,5.9604644775390625e-06
8.7738037109375e-05,5.507469177246094e-05,1.0013580322265625e-05,3.814697265625e-06,8.106231689453125e-06,1.5020370483398438e-05,6.198883056640625e-06
0.00016307830810546875,1.1205673217773438e-05,1.0967254638671875e-05,3.814697265625e-06,7.867813110351562e-06,1.4066696166992188e-05,6.198883056640625e-06
0.0001468658447265625,9.083747863769531e-05,1.0967254638671875e-05,5.245208740234375e-06,8.106231689453125e-06,1.2874603271484375e-05,7.152557373046875e-06
0.00022792816162109375,0.00011396408081054688,1.2159347534179688e-05,5.0067901611328125e-06,9.059906005859375e-06,1.3113021850585938e-05,6.198883056640625e-06
0.000209808349609375,9.822845458984375e-05,1.1920928955078125e-05,5.245208740234375e-06,8.821487426757812e-06,1.1920928955078125e-05,6.198883056640625e-06
0.00015687942504882812,8.893013000488281e-05,1.2159347534179688e-05,4.76837158203125e-06,7.867813110351562e-06,1.1682510375976562e-05,6.198883056640625e-06
0.00014901161193847656,0.00022983551025390625,1.3828277587890625e-05,5.7220458984375e-06,8.821487426757812e-06,1.0967254638671875e-05,6.198883056640625e-06
0.00015687942504882812,9.512901306152344e-05,1.4066696166992188e-05,5.9604644775390625e-06,8.821487426757812e-06,1.1920928955078125e-05,5.9604644775390625e-06
0.00015091896057128906,9.083747863769531e-05,1.5020370483398438e-05,5.9604644775390625e-06,8.344650268554688e-06,1.1205673217773438e-05,5.9604644775390625e-06
0.00018787384033203125,8.988380432128906e-05,1.5020370483398438e-05,5.9604644775390625e-06,8.106231689453125e-06,1.0967254638671875e-05,5.9604644775390625e-06
0.00019097328186035156,8.893013000488281e-05,1.4781951904296875e-05,7.3909759521484375e-06,9.059906005859375e-06,1.1205673217773438e-05,5.9604644775390625e-06
0.00018405914306640625,9.393692016601562e-05,1.6927719116210938e-05,7.152557373046875e-06,7.867813110351562e-06,1.1920928955078125e-05,5.9604644775390625e-06
0.00019097328186035156,0.00011277198791503906,1.6927719116210938e-05,6.198883056640625e-06,7.867813110351562e-06,1.0967254638671875e-05,6.9141387939453125e-06
0.00020599365234375,0.00010013580322265625,1.7881393432617188e-05,7.152557373046875e-06,7.867813110351562e-06,1.2159347534179688e-05,5.9604644775390625e-06
0.0003190040588378906,8.606910705566406e-05,1.7881393432617188e-05,7.152557373046875e-06,9.059906005859375e-06,1.1920928955078125e-05,5.9604644775390625e-06
0.000225067138671875,9.107589721679688e-05,1.8835067749023438e-05,7.867813110351562e-06,7.867813110351562e-06,1.1205673217773438e-05,5.9604644775390625e-06
0.00023221969604492188,8.392333984375e-05,2.002716064453125e-05,6.9141387939453125e-06,7.867813110351562e-06,1.0967254638671875e-05,6.9141387939453125e-06
0.00026702880859375,1.0967254638671875e-05,2.09808349609375e-05,7.867813110351562e-06,1.6927719116210938e-05,1.2159347534179688e-05,5.9604644775390625e-06
0.00026488304138183594,0.0001652240753173828,2.09808349609375e-05,8.106231689453125e-06,9.059906005859375e-06,1.1920928955078125e-05,5.7220458984375e-06
0.0002779960632324219,0.00015425682067871094,2.1219253540039062e-05,8.344650268554688e-06,9.059906005859375e-06,3.0994415283203125e-05,6.9141387939453125e-06
0.00033402442932128906,0.00014972686767578125,2.3126602172851562e-05,7.867813110351562e-06,9.059906005859375e-06,2.2649765014648438e-05,5.9604644775390625e-06
0.00023889541625976562,0.00015211105346679688,2.2649765014648438e-05,8.821487426757812e-06,9.059906005859375e-06,1.4781951904296875e-05,5.7220458984375e-06
0.0002410411834716797,0.0001499652862548828,2.4080276489257812e-05,9.059906005859375e-06,7.867813110351562e-06,1.2636184692382812e-05,5.9604644775390625e-06
0.00026679039001464844,0.00015282630920410156,2.4080276489257812e-05,9.298324584960938e-06,8.106231689453125e-06,1.3113021850585938e-05,5.7220458984375e-06
0.00025391578674316406,0.0001590251922607422,2.4080276489257812e-05,9.059906005859375e-06,8.344650268554688e-06,1.3113021850585938e-05,5.9604644775390625e-06
