Recursion,Stack
1.1920928955078125e-05,4.0531158447265625e-06
1.0967254638671875e-05,2.86102294921875e-06
5.245208740234375e-06,2.1457672119140625e-06
4.76837158203125e-06,5.0067901611328125e-06
2.47955322265625e-05,2.6226043701171875e-06
1.5020370483398438e-05,1.9073486328125e-06
9.059906005859375e-06,2.1457672119140625e-06
1.0013580322265625e-05,2.86102294921875e-06
1.0967254638671875e-05,3.0994415283203125e-06
1.2159347534179688e-05,4.0531158447265625e-06
1.430511474609375e-05,3.0994415283203125e-06
1.621246337890625e-05,3.0994415283203125e-06
1.5974044799804688e-05,4.0531158447265625e-06
1.811981201171875e-05,4.0531158447265625e-06
1.9788742065429688e-05,4.291534423828125e-06
2.002716064453125e-05,3.814697265625e-06
2.193450927734375e-05,5.0067901611328125e-06
2.2172927856445312e-05,4.0531158447265625e-06
2.4080276489257812e-05,5.245208740234375e-06
2.47955322265625e-05,5.245208740234375e-06
2.7179718017578125e-05,5.9604644775390625e-06
2.7179718017578125e-05,5.9604644775390625e-06
3.0040740966796875e-05,5.9604644775390625e-06
3.0994415283203125e-05,5.9604644775390625e-06
3.1948089599609375e-05,5.9604644775390625e-06
3.314018249511719e-05,6.9141387939453125e-06
3.409385681152344e-05,6.9141387939453125e-06
3.790855407714844e-05,5.9604644775390625e-06
3.5762786865234375e-05,6.9141387939453125e-06
3.814697265625e-05,8.106231689453125e-06
7.414817810058594e-05,6.9141387939453125e-06
4.7206878662109375e-05,6.9141387939453125e-06
4.291534423828125e-05,8.106231689453125e-06
4.410743713378906e-05,8.106231689453125e-06
4.506111145019531e-05,7.867813110351562e-06
4.696846008300781e-05,7.867813110351562e-06
4.696846008300781e-05,9.059906005859375e-06
4.887580871582031e-05,8.821487426757812e-06
4.982948303222656e-05,9.298324584960938e-06
5.1021575927734375e-05,1.0013580322265625e-05
5.1975250244140625e-05,9.775161743164062e-06
5.316734313964844e-05,1.0013580322265625e-05
5.412101745605469e-05,1.0013580322265625e-05
5.793571472167969e-05,1.0013580322265625e-05
5.698204040527344e-05,1.0013580322265625e-05
5.91278076171875e-05,1.0967254638671875e-05
5.984306335449219e-05,1.0728836059570312e-05
6.103515625e-05,1.0967254638671875e-05
6.29425048828125e-05,1.2159347534179688e-05
6.389617919921875e-05,1.0967254638671875e-05
6.508827209472656e-05,1.0967254638671875e-05
6.580352783203125e-05,1.1920928955078125e-05
6.67572021484375e-05,1.2159347534179688e-05
6.818771362304688e-05,1.2874603271484375e-05
6.985664367675781e-05,1.2874603271484375e-05
7.104873657226562e-05,1.3113021850585938e-05
7.295608520507812e-05,1.3828277587890625e-05
7.414817810058594e-05,1.3113021850585938e-05
7.486343383789062e-05,1.4066696166992188e-05
7.605552673339844e-05,1.4066696166992188e-05
7.772445678710938e-05,1.4066696166992188e-05
8.0108642578125e-05,1.4066696166992188e-05
7.987022399902344e-05,1.3828277587890625e-05
8.177757263183594e-05,1.4781951904296875e-05
8.296966552734375e-05,1.6927719116210938e-05
8.392333984375e-05,1.5974044799804688e-05
8.511543273925781e-05,1.5020370483398438e-05
8.702278137207031e-05,1.71661376953125e-05
8.7738037109375e-05,1.71661376953125e-05
8.916854858398438e-05,1.71661376953125e-05
9.012222290039062e-05,1.5974044799804688e-05
9.179115295410156e-05,1.71661376953125e-05
9.322166442871094e-05,1.71661376953125e-05
9.393692016601562e-05,1.71661376953125e-05
0.00010800361633300781,1.811981201171875e-05
9.703636169433594e-05,1.6927719116210938e-05
0.0001010894775390625,2.002716064453125e-05
9.989738464355469e-05,1.8835067749023438e-05
0.00010228157043457031,1.9073486328125e-05
0.00010395050048828125,1.8358230590820312e-05
0.0001049041748046875,1.9073486328125e-05
0.00010514259338378906,1.9073486328125e-05
0.00010585784912109375,1.9073486328125e-05
0.00010800361633300781,1.8835067749023438e-05
0.00010800361633300781,1.8835067749023438e-05
0.00010991096496582031,2.0265579223632812e-05
0.00011110305786132812,1.9788742065429688e-05
0.00011205673217773438,2.4080276489257812e-05
0.00011420249938964844,2.09808349609375e-05
0.00011491775512695312,2.09808349609375e-05
0.00011801719665527344,2.09808349609375e-05
0.00011897087097167969,2.002716064453125e-05
0.00012373924255371094,2.193450927734375e-05
0.00012111663818359375,2.193450927734375e-05
0.0001227855682373047,2.193450927734375e-05
0.0001251697540283203,2.193450927734375e-05
0.0001239776611328125,2.2172927856445312e-05
0.00011587142944335938,2.193450927734375e-05
0.00011110305786132812,2.193450927734375e-05
0.00011205673217773438,2.384185791015625e-05
0.00011277198791503906,2.3126602172851562e-05
0.00011301040649414062,2.4080276489257812e-05
0.00011396408081054688,2.4080276489257812e-05
0.00011610984802246094,2.4080276489257812e-05
0.00011610984802246094,2.4080276489257812e-05
0.00011801719665527344,2.47955322265625e-05
0.00011801719665527344,2.4080276489257812e-05
0.00012183189392089844,2.5272369384765625e-05
0.00012111663818359375,2.6226043701171875e-05
0.00012111663818359375,2.5987625122070312e-05
0.00012183189392089844,2.5033950805664062e-05
0.0001251697540283203,2.574920654296875e-05
0.00012612342834472656,2.574920654296875e-05
0.00012612342834472656,2.6702880859375e-05
