,BruteForce,CoprimeDecomposition,GeneralSolution,BinaryTrick
0,0.009623050689697266,0.00014400482177734375,9.393692016601562e-05,9.822845458984375e-05
1,0.009718894958496094,0.0001628398895263672,0.0001010894775390625,0.00010919570922851562
2,0.00973200798034668,0.00018906593322753906,0.00010418891906738281,0.00011801719665527344
3,0.009747028350830078,0.00020003318786621094,0.00010704994201660156,0.0001270771026611328
4,0.009759902954101562,0.00022792816162109375,0.00010991096496582031,0.00013494491577148438
5,0.009774923324584961,0.0002551078796386719,0.00011301040649414062,0.00014209747314453125
6,0.009788990020751953,0.00028204917907714844,0.00011587142944335938,0.00015020370483398438
7,0.009805917739868164,0.0002918243408203125,0.00011897087097167969,0.0001571178436279297
8,0.009822845458984375,0.00033402442932128906,0.00012302398681640625,0.00016498565673828125
9,0.009840965270996094,0.00037598609924316406,0.00012612342834472656,0.00017595291137695312
10,0.009860992431640625,0.00041794776916503906,0.0001289844512939453,0.00018405914306640625
11,0.009881019592285156,0.00045990943908691406,0.00013208389282226562,0.00019097328186035156
12,0.009902000427246094,0.0005021095275878906,0.0001361370086669922,0.00019788742065429688
13,0.009922981262207031,0.0005440711975097656,0.00013899803161621094,0.00020623207092285156
14,0.009949207305908203,0.0005860328674316406,0.00014209747314453125,0.00021314620971679688
15,0.009975910186767578,0.0005950927734375,0.00014519691467285156,0.00022101402282714844
16,0.010003805160522461,0.0006699562072753906,0.00014901161193847656,0.0002281665802001953
17,0.010033130645751953,0.0007429122924804688,0.00015211105346679688,0.00023603439331054688
18,0.010061979293823242,0.0008170604705810547,0.00015616416931152344,0.000244140625
19,0.010092020034790039,0.0008900165557861328,0.0001590251922607422,0.0002510547637939453
20,0.010120153427124023,0.0009629726409912109,0.00016307830810546875,0.00025916099548339844
21,0.010149955749511719,0.001035928726196289,0.00016617774963378906,0.00026607513427734375
22,0.010183095932006836,0.001110076904296875,0.00016999244689941406,0.0002739429473876953
23,0.01021718978881836,0.0011830329895019531,0.00017309188842773438,0.00028228759765625
24,0.010255098342895508,0.0012619495391845703,0.0001761913299560547,0.0002892017364501953
25,0.010293960571289062,0.0013349056243896484,0.0001800060272216797,0.0002970695495605469
26,0.010331153869628906,0.0014088153839111328,0.00018310546875,0.0003039836883544922
27,0.010366201400756836,0.0014810562133789062,0.00018596649169921875,0.0003120899200439453
28,0.010402917861938477,0.0015549659729003906,0.00018906593322753906,0.00032019615173339844
29,0.010439157485961914,0.0016279220581054688,0.00019288063049316406,0.00032711029052734375
30,0.010477066040039062,0.0017020702362060547,0.00019598007202148438,0.0003352165222167969
31,0.01052093505859375,0.0017120838165283203,0.00020003318786621094,0.00034308433532714844
32,0.010567188262939453,0.0018489360809326172,0.0002028942108154297,0.00035119056701660156
33,0.010612964630126953,0.001985788345336914,0.00020599365234375,0.0003590583801269531
34,0.010659933090209961,0.002123117446899414,0.00021004676818847656,0.00036716461181640625
35,0.010720968246459961,0.0022580623626708984,0.0002129077911376953,0.00037407875061035156
36,0.010769128799438477,0.0023970603942871094,0.00021696090698242188,0.0003819465637207031
37,0.010814905166625977,0.0025320053100585938,0.0002200603485107422,0.00039005279541015625
38,0.010864973068237305,0.0026679039001464844,0.0002238750457763672,0.0003981590270996094
39,0.01091909408569336,0.0028030872344970703,0.0002269744873046875,0.00040602684020996094
40,0.0109710693359375,0.002939939498901367,0.00023102760314941406,0.00041294097900390625
41,0.01102304458618164,0.0030820369720458984,0.0002338886260986328,0.0004210472106933594
42,0.011072874069213867,0.003219127655029297,0.00023794174194335938,0.0004291534423828125
43,0.011125802993774414,0.0033559799194335938,0.0002410411834716797,0.00043702125549316406
44,0.011178970336914062,0.003493070602416992,0.0002448558807373047,0.0004451274871826172
45,0.01123499870300293,0.003629922866821289,0.000247955322265625,0.00045228004455566406
46,0.01129007339477539,0.0037660598754882812,0.00025200843811035156,0.0004601478576660156
47,0.011352062225341797,0.003904104232788086,0.0002548694610595703,0.0004680156707763672
48,0.011408090591430664,0.0040400028228759766,0.0002589225769042969,0.0004761219024658203
49,0.011467933654785156,0.004174947738647461,0.0002620220184326172,0.00048422813415527344
50,0.01152491569519043,0.004311800003051758,0.0002658367156982422,0.0004911422729492188
51,0.01158285140991211,0.0044481754302978516,0.0002689361572265625,0.0004990100860595703
52,0.011641979217529297,0.004585981369018555,0.00027298927307128906,0.0005068778991699219
53,0.011700868606567383,0.004723072052001953,0.0002758502960205078,0.0005140304565429688
54,0.011763811111450195,0.004861116409301758,0.0002799034118652344,0.0005221366882324219
55,0.011831045150756836,0.004997968673706055,0.0002830028533935547,0.0005300045013427734
56,0.011895895004272461,0.005136013031005859,0.0002868175506591797,0.0005381107330322266
57,0.011960983276367188,0.005272865295410156,0.0002899169921875,0.0005450248718261719
58,0.01202702522277832,0.005410909652709961,0.0002942085266113281,0.000553131103515625
59,0.012094974517822266,0.005547046661376953,0.0002968311309814453,0.0005609989166259766
60,0.012162923812866211,0.005685091018676758,0.0002999305725097656,0.0005691051483154297
61,0.012231111526489258,0.0058209896087646484,0.0003039836883544922,0.000576019287109375
62,0.012296915054321289,0.005959033966064453,0.0003070831298828125,0.0005841255187988281
63,0.012370109558105469,0.005967855453491211,0.0003108978271484375,0.0005919933319091797
64,0.01244211196899414,0.006234884262084961,0.0003151893615722656,0.0006000995635986328
65,0.012516021728515625,0.0064961910247802734,0.0003190040588378906,0.0006082057952880859
66,0.01258993148803711,0.0067632198333740234,0.00032210350036621094,0.0006160736083984375
67,0.012665987014770508,0.007024049758911133,0.0003261566162109375,0.0006239414215087891
