,BruteForce,CoprimeDecomposition,Stack,GeneralSolution,BinaryTrick,ReadingFromList,Recursion
1,0.0116522312164306,0.0001158714294433,9.703636169433594e-05,9.298324584960938e-05,9.512901306152344e-05,0.0155220031738281,9.131431579589844e-05
2,0.0117220878601074,0.0001287460327148,0.0001049041748046,9.989738464355467e-05,0.0001070499420166,0.01558518409729,9.822845458984375e-05
3,0.011735200881958,0.0001599788665771,0.000108003616333,0.0001039505004882,0.0001163482666015,0.0155930519104003,0.0001010894775390625
4,0.0117480754852294,0.0001678466796875,0.0001108646392822,0.0001070499420166,0.0001242160797119,0.0155999660491943,0.00010395050048828125
5,0.0117619037628173,0.0001978874206542,0.0001139640808105,0.0001099109649658,0.0001332759857177,0.0156071186065673,0.00010609626770019531
6,0.0117750167846679,0.0002257823944091,0.0001170635223388,0.0001130104064941,0.0001411437988281,0.0156140327453613,0.00010919570922851562
7,0.0117912292480468,0.0002539157867431,0.0001211166381835,0.0001161098480224,0.000148057937622,0.0156209468841552,0.00011110305786132812
8,0.0118091106414794,0.0002608299255371,0.0001239776611328,0.0001187324523925,0.000157356262207,0.0156271457672119,0.00011420249938964844
9,0.0118279457092285,0.0003068447113037,0.0001280307769775,0.0001218318939208,0.0001652240753173,0.0156340599060058,0.00011706352233886719
10,0.011847972869873,0.0003509521484375,0.0001311302185058,0.0001261234283447,0.0001721382141113,0.0156412124633789,0.0001201629638671875
11,0.0118689537048339,0.0003948211669921,0.0001349449157714,0.0001289844512939,0.0001802444458007,0.0156481266021728,0.0001232624053955078
12,0.0118920803070068,0.0004386901855468,0.0001399517059326,0.0001318454742431,0.0001871585845947,0.0156550407409667,0.00012612342834472656
13,0.0119171142578125,0.0004816055297851,0.0001440048217773,0.0001358985900878,0.0001940727233886,0.0156610012054443,0.00013017654418945312
14,0.011941909790039,0.0005266666412353,0.000148057937622,0.0001389980316162,0.0002021789550781,0.0156679153442382,0.00013327598571777344
15,0.0119690895080566,0.0005698204040527,0.0001528263092041,0.0001418590545654,0.0002093315124511,0.0156748294830322,0.00013709068298339844
16,0.0120019912719726,0.000577688217163,0.0001568794250488,0.0001449584960937,0.0002171993255615,0.0156831741333007,0.00014019012451171875
17,0.0120360851287841,0.0006515979766845,0.000162124633789,0.0001490116119384,0.0002250671386718,0.0156900882720947,0.0001442432403564453
18,0.012070894241333,0.0007257461547851,0.000166893005371,0.0001528263092041,0.0002322196960449,0.0156970024108886,0.0001480579376220703
19,0.0121059417724609,0.0007998943328857,0.0001730918884277,0.0001559257507324,0.0002403259277343,0.0157041549682617,0.00015211105346679688
20,0.0121431350708007,0.0008728504180908,0.0001778602600097,0.0001599788665771,0.0002472400665283,0.0157110691070556,0.00015616416931152344
21,0.0121810436248779,0.0009467601776123,0.00018310546875,0.0001628398895263,0.0002551078796386,0.0157179832458496,0.00015997886657714844
22,0.0122208595275878,0.0010209083557128,0.0001888275146484,0.000166893005371,0.0002632141113281,0.0157241821289062,0.0001652240753173828
23,0.0122630596160888,0.0010938644409179,0.000195026397705,0.0001699924468994,0.000270128250122,0.0157310962677001,0.0001690387725830078
24,0.0123090744018554,0.0011677742004394,0.0002000331878662,0.000173807144165,0.0002779960632324,0.0157380104064941,0.00017404556274414062
