,Solution
533,43.0
534,45.0
535,47.0
536,49.0
537,51.0
538,53.0
539,55.0
540,57.0
541,59.0
542,61.0
543,63.0
544,65.0
545,67.0
546,69.0
547,71.0
548,73.0
549,75.0
550,77.0
551,79.0
552,81.0
553,83.0
554,85.0
555,87.0
556,89.0
557,91.0
558,93.0
559,95.0
560,97.0
561,99.0
562,101.0
563,103.0
564,105.0
565,107.0
566,109.0
567,111.0
568,113.0
569,115.0
570,117.0
571,119.0
572,121.0
573,123.0
574,125.0
575,127.0
576,129.0
577,131.0
578,133.0
579,135.0
580,137.0
581,139.0
582,141.0
583,143.0
584,145.0
585,147.0
586,149.0
587,151.0
588,153.0
589,155.0
590,157.0
591,159.0
592,161.0
593,163.0
594,165.0
595,167.0
596,169.0
597,171.0
598,173.0
599,175.0
600,177.0
601,179.0
602,181.0
603,183.0
604,185.0
605,187.0
606,189.0
607,191.0
608,193.0
609,195.0
610,197.0
611,199.0
612,201.0
613,203.0
614,205.0
615,207.0
616,209.0
617,211.0
618,213.0
619,215.0
620,217.0
621,219.0
622,221.0
623,223.0
624,225.0
625,227.0
626,229.0
627,231.0
628,233.0
629,235.0
630,237.0
631,239.0
632,241.0
633,243.0
634,245.0
635,247.0
636,249.0
637,251.0
638,253.0
639,255.0
640,257.0
641,259.0
642,261.0
643,263.0
644,265.0
645,267.0
646,269.0
647,271.0
648,273.0
649,275.0
650,277.0
651,279.0
652,281.0
653,283.0
654,285.0
655,287.0
656,289.0
657,291.0
658,293.0
659,295.0
660,297.0
661,299.0
662,301.0
663,303.0
664,305.0
665,307.0
666,309.0
667,311.0
668,313.0
669,315.0
670,317.0
671,319.0
672,321.0
673,323.0
674,325.0
675,327.0
676,329.0
677,331.0
678,333.0
679,335.0
680,337.0
681,339.0
682,341.0
683,343.0
684,345.0
685,347.0
686,349.0
687,351.0
688,353.0
689,355.0
690,357.0
691,359.0
692,361.0
693,363.0
694,365.0
695,367.0
696,369.0
697,371.0
698,373.0
699,375.0
700,377.0
701,379.0
702,381.0
703,383.0
704,385.0
705,387.0
706,389.0
707,391.0
708,393.0
709,395.0
710,397.0
711,399.0
712,401.0
713,403.0
714,405.0
715,407.0
716,409.0
717,411.0
718,413.0
719,415.0
720,417.0
721,419.0
722,421.0
723,423.0
724,425.0
725,427.0
726,429.0
727,431.0
728,433.0
729,435.0
730,437.0
731,439.0
732,441.0
733,443.0
734,445.0
735,447.0
736,449.0
737,451.0
738,453.0
739,455.0
740,457.0
741,459.0
742,461.0
743,463.0
744,465.0
745,467.0
746,469.0
747,471.0
748,473.0
749,475.0
750,477.0
751,479.0
752,481.0
753,483.0
754,485.0
755,487.0
756,489.0
757,491.0
758,493.0
759,495.0
760,497.0
761,499.0
762,501.0
763,503.0
764,505.0
765,507.0
766,509.0
767,511.0
768,513.0
769,515.0
770,517.0
771,519.0
772,521.0
773,523.0
774,525.0
775,527.0
776,529.0
777,531.0
778,533.0
779,535.0
780,537.0
781,539.0
782,541.0
783,543.0
784,545.0
785,547.0
786,549.0
787,551.0
788,553.0
789,555.0
790,557.0
791,559.0
792,561.0
