,BruteForce,CoprimeDecomposition,GeneralSolution,BinaryTrick,Recursion,ReadingFromList
1,0.0089948177337646,0.0015962123870849,0.0001249313354492,0.0001759529113769,0.0001399517059326,0.0217440128326416
2,0.0090730190277099,0.0016131401062011,0.0001337528228759,0.0001890659332275,0.0001518726348876,0.021810054779052734
3,0.0090858936309814,0.0016529560089111,0.0001378059387207,0.0001990795135498,0.0001556873321533,0.021821975708007812
4,0.0091018676757812,0.0016620159149169,0.0001406669616699,0.0002079010009765,0.0001587867736816,0.021831035614013672
5,0.0091159343719482,0.0016932487487792,0.0001437664031982,0.000216007232666,0.0001609325408935,0.021839141845703125
6,0.0091290473937988,0.0017280578613281,0.0001468658447265,0.0002248287200927,0.0001640319824218,0.021847009658813477
7,0.009145975112915,0.0017573833465576,0.0001499652862548,0.0002331733703613,0.000166893005371,0.021853923797607422
8,0.0091638565063476,0.0017652511596679,0.0001537799835205,0.0002410411834716,0.0001699924468994,0.021862030029296875
9,0.0091829299926757,0.0018141269683837,0.0001568794250488,0.000248908996582,0.0001728534698486,0.021869182586669922
10,0.0092029571533203,0.0018610954284667,0.0001599788665771,0.0002570152282714,0.0001769065856933,0.021877050399780273
11,0.0092239379882812,0.0019071102142333,0.0001637935638427,0.0002651214599609,0.0001797676086425,0.02188396453857422
12,0.0092470645904541,0.0019571781158447,0.000166893005371,0.0002729892730712,0.0001828670501708,0.021892070770263672
13,0.0092718601226806,0.0020022392272949,0.0001699924468994,0.0002799034118652,0.0001859664916992,0.021900177001953125
14,0.0092968940734863,0.0020480155944824,0.0001726150512695,0.0002880096435546,0.0001897811889648,0.021908044815063477
15,0.0093238353729248,0.0020930767059326,0.0001769065856933,0.0002961158752441,0.0001928806304931,0.021914958953857422
16,0.0093569755554199,0.002101182937622,0.0001800060272216,0.0003039836883544,0.0001966953277587,0.021923065185546875
17,0.0093898773193359,0.0021791458129882,0.0001838207244873,0.0003118515014648,0.0002007484436035,0.02192997932434082
18,0.0094289779663085,0.0022592544555664,0.0001869201660156,0.0003199577331542,0.0002050399780273,0.021936893463134766
19,0.0094637870788574,0.0023372173309326,0.0001909732818603,0.0003280639648437,0.0002088546752929,0.021944046020507812
20,0.0095019340515136,0.0024161338806152,0.0001935958862304,0.0003359317779541,0.0002129077911376,0.021952152252197266
21,0.0095398426055908,0.0024971961975097,0.0001978874206542,0.0003440380096435,0.0002169609069824,0.02195906639099121
22,0.0095798969268798,0.0025782585144042,0.000201940536499,0.0003519058227539,0.0002219676971435,0.021966218948364258
23,0.0096211433410644,0.0026559829711914,0.0002048015594482,0.0003590583801269,0.0002269744873046,0.021973133087158203
24,0.0096669197082519,0.002737283706665,0.0002079010009765,0.0003669261932373,0.0002307891845703,0.02198004722595215
25,0.0097138881683349,0.002817153930664,0.0002119541168212,0.0003750324249267,0.0002360343933105,0.0219881534576416
26,0.0097639560699462,0.0028982162475585,0.0002157688140869,0.0003831386566162,0.0002417564392089,0.021995067596435547
27,0.0098159313201904,0.0029780864715576,0.0002188682556152,0.0003910064697265,0.0002470016479492,0.022001981735229492
28,0.0098698139190673,0.003058910369873,0.0002229213714599,0.000399112701416,0.0002517700195312,0.02200913429260254
29,0.0099279880523681,0.0031361579895019,0.0002267360687255,0.0004057884216308,0.0002579689025878,0.022016048431396484
30,0.0099868774414062,0.0032181739807128,0.0002298355102539,0.0004141330718994,0.0002627372741699,0.02202296257019043
31,0.0100469589233398,0.0032961368560791,0.0002338886260986,0.0004220008850097,0.0002689361572265,0.022030115127563477
32,0.0101158618927001,0.0033080577850341,0.0002367496490478,0.0004298686981201,0.0002748966217041,0.022037982940673828
33,0.010185956954956,0.0034561157226562,0.0002408027648925,0.0004379749298095,0.0002810955047607,0.022044897079467773
34,0.010261058807373,0.0036022663116455,0.0002448558807373,0.0004470348358154,0.0002868175506591,0.02205204963684082
35,0.0103340148925781,0.0037481784820556,0.0002486705780029,0.0004551410675048,0.0002930164337158,0.022058963775634766
36,0.0104269981384277,0.0038909912109375,0.0002529621124267,0.0004630088806152,0.0002989768981933,0.02206587791442871
37,0.0105071067810058,0.004033088684082,0.0002558231353759,0.0004708766937255,0.0003058910369873,0.022074222564697266
38,0.0105888843536376,0.0041751861572265,0.0002598762512207,0.0004792213439941,0.0003118515014648,0.02208113670349121
39,0.0106699466705322,0.0043179988861083,0.0002639293670654,0.0004870891571044,0.0003187656402587,0.022088050842285156
40,0.0107569694519042,0.0044631958007812,0.0002670288085937,0.0004949569702148,0.0003247261047363,0.022095918655395508
41,0.0108458995819091,0.004606008529663,0.0002708435058593,0.0005028247833251,0.0003318786621093,0.022103071212768555
42,0.0109369754791259,0.0047512054443359,0.0002748966217041,0.0005111694335937,0.0003387928009033,0.0221099853515625
43,0.0110280513763427,0.0048940181732177,0.0002779960632324,0.0005190372467041,0.0003459453582763,0.02211785316467285
44,0.0111267566680908,0.0050382614135742,0.000281810760498,0.0005269050598144,0.0003528594970703,0.0221250057220459
45,0.0112268924713134,0.0051841735839843,0.0002858638763427,0.0005350112915039,0.0003609657287597,0.022131919860839844
