,BruteForce,CoprimeDecomposition,GeneralSolution,BinaryTrick
0,0.012545108795166016,0.00010204315185546875,9.226799011230469e-05,8.392333984375e-05
1,0.012638330459594727,0.00011610984802246094,9.918212890625e-05,9.489059448242188e-05
2,0.01265406608581543,0.00014019012451171875,0.00010204315185546875,0.00010395050048828125
3,0.012675046920776367,0.00015115737915039062,0.00010514259338378906,0.00011181831359863281
4,0.01268911361694336,0.00017786026000976562,0.00010800361633300781,0.00011897087097167969
5,0.012703180313110352,0.00020503997802734375,0.00011110305786132812,0.00012683868408203125
6,0.01271820068359375,0.00023102760314941406,0.00011420249938964844,0.00013375282287597656
7,0.012736082077026367,0.0002410411834716797,0.00011730194091796875,0.00014162063598632812
8,0.012754201889038086,0.0002849102020263672,0.0001201629638671875,0.0001499652862548828
9,0.012772083282470703,0.0003268718719482422,0.00012421607971191406,0.00015687942504882812
10,0.012791156768798828,0.0003688335418701172,0.00012731552124023438,0.0001647472381591797
11,0.012810945510864258,0.00040984153747558594,0.00012993812561035156,0.00017189979553222656
12,0.012833118438720703,0.00045180320739746094,0.00013303756713867188,0.00017881393432617188
13,0.01285409927368164,0.0004930496215820312,0.0001361370086669922,0.0001857280731201172
14,0.01287698745727539,0.0005340576171875,0.0001399517059326172,0.00019359588623046875
15,0.012904167175292969,0.0005440711975097656,0.0001430511474609375,0.0002009868621826172
16,0.012932062149047852,0.0006210803985595703,0.00014710426330566406,0.00020885467529296875
17,0.012962102890014648,0.0006930828094482422,0.0001499652862548828,0.00021576881408691406
18,0.012991189956665039,0.0007660388946533203,0.00015306472778320312,0.0002238750457763672
19,0.01302027702331543,0.0008380413055419922,0.0001571178436279297,0.0002307891845703125
20,0.013049125671386719,0.0009109973907470703,0.00015997886657714844,0.00023865699768066406
21,0.013079166412353516,0.0009951591491699219,0.000164031982421875,0.00024580955505371094
22,0.013109922409057617,0.001068115234375,0.0001671314239501953,0.00025391578674316406
23,0.013143062591552734,0.0011410713195800781,0.0001709461212158203,0.0002608299255371094
24,0.013177156448364258,0.00121307373046875,0.00017404556274414062,0.00026869773864746094
25,0.013211250305175781,0.0012860298156738281,0.00017714500427246094,0.0002758502960205078
26,0.013246297836303711,0.0013730525970458984,0.00018024444580078125,0.0002837181091308594
27,0.013279914855957031,0.0014448165893554688,0.00018405914306640625,0.0002906322479248047
28,0.013317108154296875,0.0015189647674560547,0.00018715858459472656,0.00029778480529785156
29,0.013353109359741211,0.0015931129455566406,0.00019025802612304688,0.0003058910369873047
30,0.01339101791381836,0.0016660690307617188,0.00019311904907226562,0.00031280517578125
31,0.013435125350952148,0.0016751289367675781,0.0001971721649169922,0.0003209114074707031
32,0.013483047485351562,0.001814126968383789,0.0002002716064453125,0.0003287792205810547
33,0.013529062271118164,0.0019540786743164062,0.0002028942108154297,0.0003368854522705078
34,0.013575077056884766,0.0020890235900878906,0.0002071857452392578,0.0003447532653808594
35,0.013624191284179688,0.0022249221801757812,0.00021028518676757812,0.00035190582275390625
36,0.013674259185791016,0.002359151840209961,0.00021409988403320312,0.0003597736358642578
37,0.013723134994506836,0.0024940967559814453,0.00021719932556152344,0.00036787986755371094
38,0.01377105712890625,0.002628803253173828,0.00022125244140625,0.0003750324249267578
39,0.013822317123413086,0.002763986587524414,0.00022411346435546875,0.0003829002380371094
40,0.013876199722290039,0.0029098987579345703,0.0002269744873046875,0.00039076805114746094
41,0.01392817497253418,0.0030448436737060547,0.00023126602172851562,0.00039768218994140625
42,0.013978004455566406,0.003180980682373047,0.00023412704467773438,0.00040602684020996094
43,0.014033079147338867,0.0033159255981445312,0.00023818016052246094,0.0004138946533203125
44,0.014086246490478516,0.0034608840942382812,0.0002410411834716797,0.0004208087921142578
45,0.014141082763671875,0.003596067428588867,0.000244140625,0.0004286766052246094
46,0.014199018478393555,0.003731966018676758,0.000247955322265625,0.0004367828369140625
47,0.01425623893737793,0.0038840770721435547,0.0002510547637939453,0.0004436969757080078
48,0.014313220977783203,0.004019021987915039,0.00025534629821777344,0.00045180320739746094
49,0.014369010925292969,0.0041539669036865234,0.0002579689025878906,0.00045990943908691406
50,0.01443028450012207,0.004289150238037109,0.00026106834411621094,0.0004668235778808594
51,0.014491081237792969,0.004423856735229492,0.0002651214599609375,0.00047469139099121094
